Date,Wilayah,Lokasi,Engine,Irigator,Jenis Irigator,Plan Time,Luas Siram,Kecepatan Rata-rata,Tebal Siram,Prepare Time,Operating Time,Waiting Time,Repair,Down Time,Standby,Off Time,Tot. Oper. Time,Total Avail,Total Time,% Availability,% Utilization,Air,Solar Terpakai (ltr),Biaya Solar (Std),Biaya Upah,Biaya Alat,Biaya Total,Rp/Ha,Ha/Hari,Ha/Jam,Solar Ltr/jam,Solar Ltr/Ha,Jenis Engine
29-Mei,AW08,111C9,SPC0195,ITI0186,ITI,"22,00","2,05","40,00","22,00","8,00","10,00","6,00","0,00","0,00","0,00","0,00","18,00","24,00","24,00","100,00","41,67","470,00",85,Rp2.332.240,Rp702.194,Rp1.641.280,Rp4.675.714,Rp2.280.836,"2,05","0,21","8,50","41,46",SPC
29-Mei,AW08,117C,SPC0095,ITI0284,ITI,"22,00","4,07","40,00","13,00","6,50","17,00","0,50","0,00","0,00","0,00","0,00","23,50","24,00","24,00","100,00","70,83","540,00",125,Rp3.964.808,Rp765.972,Rp2.790.176,Rp7.520.956,Rp1.847.901,"4,07","0,24","7,35","30,71",SPC
29-Mei,AW09,105B,SPC0157,ITI0231,ITI,"20,17","2,36","30,00","21,00","3,50","12,00","0,50","2,00","0,00","0,00","4,00","15,50","20,00","22,00","90,91","75,00","530,00",85,Rp2.798.688,Rp743.298,Rp1.969.536,Rp5.511.522,Rp2.335.391,"2,36","0,20","7,08","36,02",SPC
29-Mei,AW09,114K,SPC0097,ITI0284,ITI,"10,08","0,45","30,00","24,00","2,00","3,00","0,00","0,00","0,00","0,00","6,00","5,00","11,00","11,00","100,00","60,00","110,00",15,Rp699.672,Rp261.000,Rp492.384,Rp1.453.056,Rp3.229.013,"0,45","0,15","5,00","33,33",SPC
29-Mei,AW09,114K,SPC0097,ITI0238,ITI,"11,00","1,20","30,00","26,00","2,00","8,00","1,00","1,00","0,00","0,00","0,00","10,00","11,00","12,00","91,67","72,73","320,00",42,Rp1.865.792,Rp435.750,Rp1.313.024,Rp3.614.566,Rp3.012.138,"1,20","0,15","5,25","35,00",SPC
29-Mei,AW10,127A,DEC0042,ITI0241,ITI,"10,54","1,50","30,00","20,00","1,00","9,00","1,50","0,00","0,00","0,00","0,00","10,00","11,50","11,50","100,00","78,26","450,00",104,Rp1.765.080,Rp452.010,Rp1.133.973,Rp3.351.063,Rp2.234.042,"1,50","0,17","11,56","69,33",DEC
29-Mei,AW10,132C,SPC0117,ITI0114,ITI,"20,63","2,80","30,00","20,00","4,00","17,00","1,50","0,00","0,00","0,00","0,00","21,00","22,50","22,50","100,00","75,56","830,00",140,Rp3.964.808,Rp746.210,Rp2.790.176,Rp7.501.194,Rp2.678.998,"2,80","0,16","8,24","50,00",SPC
30-Mei,AW08,110F,SPC0219,ITI0078,ITI,"19,25","2,50","40,00","15,00","3,00","9,00","4,00","1,00","0,00","4,00","0,00","12,00","20,00","21,00","95,24","45,00","378,00",66,Rp2.099.016,Rp713.238,Rp1.477.152,Rp4.289.406,Rp1.715.762,"2,50","0,28","7,33","26,40",SPC
30-Mei,AW08,111I,SPC0062,ITI0144,ITI,"22,00","0,87","30,00","17,00","3,50","11,00","0,00","0,00","0,00","9,50","0,00","14,50","24,00","24,00","100,00","45,83","190,00",60,Rp2.565.464,Rp655.610,Rp1.805.408,Rp5.026.482,Rp5.777.566,"0,87","0,08","5,45","68,97",SPC
30-Mei,AW08,111C9,SPC0195,ITI0186,ITI,"33,00","4,78","40,00","22,67","6,00","22,00","8,00","0,00","0,00","0,00","0,00","28,00","36,00","36,00","100,00","61,11","1.100,00",170,Rp5.130.928,Rp729.570,Rp3.610.816,Rp9.471.314,Rp1.981.446,"3,19","0,22","7,73","35,56",SPC
